         21.66666667 	         26.29629630 	         24.37500000 	         13.26923077 	         23.57142857 	         32.30769231 	         25.00000000 	         16.29032258 	
         52.22222222 	         65.37037037 	         46.71875000 	         35.57692308 	         57.14285714 	         56.34615385 	         53.75000000 	         44.83870968 	
         49.44444444 	         46.29629630 	         50.93750000 	         43.65384615 	         41.42857143 	         39.42307692 	         45.00000000 	         51.61290323 	
          9.25925926 	          7.40740741 	          7.65625000 	          9.80769231 	         11.60714286 	          7.88461538 	          9.10714286 	         12.58064516 	
         31.11111111 	         24.81481481 	         30.78125000 	         28.07692308 	         23.75000000 	         21.15384615 	         26.60714286 	         30.80645161 	
          4.25925926 	          2.03703704 	          1.71875000 	          2.30769231 	          2.50000000 	          0.96153846 	          1.60714286 	          2.90322581 	
         32.29166667 	         30.20833333 	         26.40000000 	         26.04166667 	         20.62500000 	         37.17391304 	         39.79166667 	         21.92307692 	
        135.41666667 	        141.66666667 	        117.40000000 	        103.95833333 	         86.04166667 	        142.17391304 	        161.66666667 	        102.11538462 	
         12.91666667 	         12.08333333 	         11.40000000 	          9.58333333 	          6.87500000 	         15.65217391 	         16.66666667 	          7.69230769 	
          5.83333333 	          7.08333333 	          4.80000000 	          2.08333333 	          2.70833333 	          8.04347826 	         11.45833333 	          3.84615385 	
         69.37500000 	         55.00000000 	         69.80000000 	         62.50000000 	         45.41666667 	         63.47826087 	         56.45833333 	         63.46153846 	
         44.26470588 	         62.32142857 	         41.00000000 	         52.00000000 	         30.00000000 	         49.55882353 	         46.61290323 	         39.26470588 	
          3.67647059 	          6.42857143 	          6.16666667 	          4.50000000 	          3.62068966 	          5.88235294 	          7.58064516 	          3.08823529 	
         15.00000000 	         18.92857143 	          9.33333333 	         10.66666667 	          6.72413793 	         12.64705882 	         12.74193548 	          8.97058824 	
          5.00000000 	          4.64285714 	         12.16666667 	          5.50000000 	          5.17241379 	          5.00000000 	          4.67741935 	          5.73529412 	
          1.17647059 	          0.89285714 	          1.00000000 	          1.16666667 	          1.03448276 	          0.73529412 	          1.29032258 	          0.14705882 	
          1.32352941 	          1.25000000 	          2.33333333 	          1.66666667 	          0.86206897 	          1.91176471 	          0.64516129 	          1.32352941 	
         27.18750000 	         42.83333333 	         40.18518519 	         24.33333333 	         27.75862069 	         32.50000000 	         25.85714286 	         21.77419355 	
         15.31250000 	         23.50000000 	         17.40740741 	         14.33333333 	         15.34482759 	         19.16666667 	         16.85714286 	         13.06451613 	
          0.78125000 	          0.83333333 	          2.96296296 	          3.33333333 	          3.79310345 	          0.50000000 	          0.42857143 	          1.93548387 	
         50.93750000 	         52.50000000 	         31.11111111 	         22.50000000 	         23.27586207 	         40.00000000 	         32.71428571 	         26.12903226 	
         34.21875000 	         41.83333333 	         22.22222222 	         18.00000000 	         19.82758621 	         33.16666667 	         26.14285714 	         18.70967742 	
         11.56250000 	         16.66666667 	         12.40740741 	          7.16666667 	          3.44827586 	         12.00000000 	         11.14285714 	          7.58064516 	
         46.38888889 	         50.69444444 	         41.47058824 	         36.91176471 	         34.41176471 	         40.12820513 	         36.51515152 	         34.85294118 	
         26.94444444 	         29.30555556 	         19.11764706 	         16.32352941 	         18.23529412 	         22.69230769 	         18.93939394 	         20.88235294 	
         35.69444444 	         31.66666667 	         23.82352941 	         19.41176471 	         16.47058824 	         17.56410256 	         18.93939394 	         16.91176471 	
         28.75000000 	         27.77777778 	         21.32352941 	         22.35294118 	         25.29411765 	         24.74358974 	         25.90909091 	         28.23529412 	
         21.80555556 	         23.05555556 	         16.76470588 	         14.55882353 	         17.94117647 	         16.41025641 	         14.24242424 	         17.50000000 	
         25.41666667 	         24.30555556 	         21.32352941 	         19.11764706 	         20.14705882 	         18.33333333 	         16.36363636 	         25.58823529 	
         27.25000000 	         31.25000000 	         26.30434783 	         18.42105263 	         22.70833333 	         25.00000000 	         21.38888889 	         16.84210526 	
         24.25000000 	         26.87500000 	         31.52173913 	         26.05263158 	         15.00000000 	         26.30434783 	         21.66666667 	         13.94736842 	
          4.25000000 	          7.50000000 	          1.73913043 	          0.78947368 	          3.33333333 	          5.65217391 	          4.72222222 	          0.52631579 	
         19.00000000 	         13.43750000 	         18.26086957 	         18.94736842 	         24.58333333 	         18.91304348 	         14.16666667 	         19.21052632 	
         37.50000000 	         40.31250000 	         30.86956522 	         41.31578947 	         52.29166667 	         38.47826087 	         27.22222222 	         43.42105263 	
         15.00000000 	         14.06250000 	         14.78260870 	         13.68421053 	         12.70833333 	         18.47826087 	         11.94444444 	         13.15789474 	
          0.00000000 	          2.25806452 	          5.40000000 	          1.81818182 	          1.66666667 	          2.89473684 	          2.17391304 	          1.73913043 	
         12.89473684 	         17.41935484 	         20.60000000 	         13.18181818 	         14.16666667 	         27.36842105 	         23.69565217 	         13.69565217 	
          7.89473684 	         19.35483871 	         27.20000000 	         11.59090909 	         17.08333333 	         32.36842105 	         18.69565217 	         14.78260870 	
          4.47368421 	          6.12903226 	          6.60000000 	          2.95454545 	          6.25000000 	         10.26315789 	          5.21739130 	          3.26086957 	
          6.57894737 	         20.00000000 	         23.60000000 	          9.09090909 	          8.33333333 	          4.73684211 	         13.91304348 	         14.56521739 	
          3.42105263 	          6.12903226 	          5.00000000 	          2.27272727 	          3.95833333 	          2.63157895 	          6.30434783 	          5.86956522 	
          1.31578947 	          1.12903226 	          0.40000000 	          0.90909091 	          1.04166667 	          0.52631579 	          1.30434783 	          1.95652174 	
         27.89473684 	         26.29032258 	         34.00000000 	         34.31818182 	         21.04166667 	         20.26315789 	         29.56521739 	         25.43478261 	
