          0.76096271 	           0.07931502 	          0.40493678 	           0.00506271 	
          0.44782885 	           0.08352639 	          0.37755290 	           0.00118375 	
          0.01652300 	           0.59311195 	          0.19791705 	           0.27313025 	
          0.34467301 	           0.83690157 	          0.20950041 	           0.39928162 	
          0.13665870 	           0.67815708 	          0.10950993 	           0.17647596 	
          0.05860495 	           0.78026813 	          0.24191710 	           0.63249352 	
          0.05781338 	           0.13821945 	          0.01266202 	           0.00770883 	
          0.11465546 	           0.67364472 	          0.00241685 	           0.76401938 	
          0.15603208 	           0.38622600 	          0.12230856 	           0.02830989 	
          0.93132864 	           0.21821369 	          0.03083274 	           0.98354117 	
          0.15481599 	           0.81461062 	          0.10429968 	           0.06061501 	
          0.31483007 	           0.06042479 	          0.20238659 	           0.02329827 	
          0.37585322 	           0.17055916 	          0.85150113 	           0.01947860 	
          0.18240792 	           0.36650051 	          0.07182650 	           0.07587226 	
          0.11745709 	           0.72222815 	          0.01829997 	           0.32822650 	
          0.79211202 	           0.95745151 	          0.49855109 	           0.50429120 	
          0.02332041 	           0.14142216 	          0.07222572 	           0.24809741 	
          0.81826371 	           0.06092200 	          0.04151113 	           0.06721040 	
          0.06977975 	           0.44918638 	          0.05759199 	           0.00046528 	
          0.63488673 	           0.89313229 	          0.09164289 	           0.01665434 	
          0.04016876 	           0.22678917 	          0.07383359 	           0.00167104 	
          0.01702205 	           0.02048103 	          0.10806466 	           0.00077637 	
          0.02908129 	           0.23945895 	          0.12550390 	           0.00548771 	
          0.30170067 	           0.31915535 	          0.09069194 	           0.27180277 	
          0.07039407 	           0.04842603 	          0.05830780 	           0.07188342 	
          0.28971136 	           0.61174583 	          0.00202623 	           0.06363077 	
          0.58276538 	           0.61971969 	          0.24235083 	           0.11506872 	
          0.20856881 	           0.21588961 	          0.02527970 	           0.93398089 	
          0.21824639 	           0.24402792 	          0.14490155 	           0.76150932 	
          0.00894217 	           0.39182087 	          0.33510284 	           0.69105298 	
          0.41156362 	           0.50905569 	          0.11310623 	           0.58053552 	
          0.13900892 	           0.91687900 	          0.70739547 	           0.90972892 	
          0.45947898 	           0.00310960 	          0.07902545 	           0.48316195 	
          0.01614218 	           0.01328748 	          0.08846491 	           0.21170103 	
          0.00084636 	           0.13886011 	          0.11910511 	           0.04075720 	
          0.01655257 	           0.06897215 	          0.09266752 	           0.28217630 	
          0.30024026 	           0.16918661 	          0.04918865 	           0.00090096 	
